year,id_,marital,childs,age,degree,sex,happy,satjob,realrinc,ballot
2016,240,Married,2,36,High school,MALE,Very happy,Very satisfied,25740.0,Ballot b
2016,241,Never married,5,37,High school,MALE,Pretty happy,Very satisfied,25740.0,Ballot b
2016,242,Never married,0,32,High school,MALE,Very happy,Very satisfied,9945.0,Ballot a
2016,243,Separated,6,53,Less than high school,FEMALE,Very happy,Very satisfied,11115.0,Ballot b
2016,244,Widowed,1,42,High school,MALE,Very happy,Very satisfied,31590.0,Ballot b
2016,245,Married,3,51,High school,MALE,Very happy,.n:  No answer,-100.0,Ballot a
2016,246,Married,0,44,Graduate,FEMALE,Pretty happy,.i:  Inapplicable,65520.0,Ballot a
2016,247,Married,1,36,High school,FEMALE,Pretty happy,Moderately satisfied,-100.0,Ballot c
2016,248,Married,0,49,Associate/junior college,MALE,Pretty happy,Moderately satisfied,38610.0,Ballot b
2016,249,Married,3,49,High school,FEMALE,Very happy,Very satisfied,15210.0,Ballot b
2016,250,Married,2,35,Bachelor's,FEMALE,Pretty happy,Very satisfied,-100.0,Ballot c
2016,251,Married,2,47,Bachelor's,MALE,Pretty happy,Moderately satisfied,-100.0,Ballot b
2016,252,Never married,0,29,Bachelor's,MALE,Pretty happy,Moderately satisfied,7605.0,Ballot b
2016,253,Never married,2,36,Bachelor's,MALE,Very happy,Very satisfied,-100.0,Ballot c
2016,254,Married,0,31,High school,MALE,Pretty happy,Moderately satisfied,25740.0,Ballot b
2016,255,Never married,0,19,High school,MALE,Not too happy,.i:  Inapplicable,-100.0,Ballot c
2016,256,Never married,0,25,High school,MALE,Pretty happy,.i:  Inapplicable,15210.0,Ballot b
2016,257,Divorced,1,30,Bachelor's,FEMALE,Very happy,Moderately satisfied,17550.0,Ballot a
2016,258,Married,2,62,High school,MALE,Very happy,.i:  Inapplicable,-100.0,Ballot a
2016,259,Married,0,35,Graduate,FEMALE,Pretty happy,Moderately satisfied,38610.0,Ballot c
2016,260,Separated,4,41,High school,MALE,Very happy,Very satisfied,-100.0,Ballot a
2016,261,Separated,1,62,Graduate,FEMALE,Pretty happy,.i:  Inapplicable,31590.0,Ballot a
2016,262,Never married,0,20,High school,MALE,Pretty happy,Moderately satisfied,-100.0,Ballot c
2016,263,Never married,2,42,High school,MALE,Very happy,Very satisfied,8775.0,Ballot b
2016,264,Never married,1,30,High school,FEMALE,Very happy,Moderately satisfied,1638.0,Ballot a
2016,265,Separated,1,26,Associate/junior college,FEMALE,Pretty happy,Very satisfied,6435.0,Ballot b
2016,266,Divorced,2,58,Associate/junior college,FEMALE,Not too happy,Very satisfied,17550.0,Ballot b
2016,267,Never married,1,47,High school,FEMALE,Pretty happy,Very satisfied,-100.0,Ballot a
2016,268,Divorced,2,61,High school,FEMALE,Very happy,.i:  Inapplicable,-100.0,Ballot b
2016,269,Married,2,44,Less than high school,MALE,Pretty happy,Very satisfied,31590.0,Ballot c
2016,270,Married,0,75,Graduate,FEMALE,Very happy,.i:  Inapplicable,-100.0,Ballot b
2016,271,Married,3,44,Graduate,FEMALE,Very happy,Very dissatisfied,-100.0,Ballot c
2016,272,Married,0,36,Bachelor's,FEMALE,Very happy,Moderately satisfied,11115.0,Ballot b
2016,273,Divorced,2,62,Bachelor's,FEMALE,Pretty happy,.i:  Inapplicable,25740.0,Ballot a
2016,274,Married,2,37,Bachelor's,MALE,Very happy,Very satisfied,-100.0,Ballot b
2016,275,Widowed,2,69,High school,FEMALE,Very happy,.i:  Inapplicable,-100.0,Ballot a
2016,276,Divorced,2,48,High school,MALE,Pretty happy,Very satisfied,-100.0,Ballot c
2016,277,Married,3,44,Graduate,FEMALE,Pretty happy,Very satisfied,31590.0,Ballot b
2016,278,Married,0,59,Bachelor's,MALE,Very happy,Very dissatisfied,17550.0,Ballot c
2016,279,Married,2,61,Associate/junior college,FEMALE,Pretty happy,Very satisfied,17550.0,Ballot b
