year,id_,marital,childs,age,degree,sex,happy,satjob,realrinc,ballot
2016,250,married,2,35,bachelor's,female,pretty happy,very satisfied,NA,ballot c
2016,251,married,2,47,bachelor's,male,pretty happy,moderately satisfied,NA,ballot b
2016,252,never married,0,29,bachelor's,male,pretty happy,moderately satisfied,7605,ballot b
2016,253,never married,2,36,bachelor's,male,very happy,very satisfied,NA,ballot c
2016,254,married,0,31,high school,male,pretty happy,moderately satisfied,25740,ballot b
2016,255,never married,0,19,high school,male,not too happy,NA,NA,ballot c
2016,256,never married,0,25,high school,male,pretty happy,NA,15210,ballot b
2016,257,divorced,1,30,bachelor's,female,very happy,moderately satisfied,17550,ballot a
2016,258,married,2,62,high school,male,very happy,NA,NA,ballot a
2016,259,married,0,35,graduate,female,pretty happy,moderately satisfied,38610,ballot c
2016,260,separated,4,41,high school,male,very happy,very satisfied,NA,ballot a
2016,261,separated,1,62,graduate,female,pretty happy,NA,31590,ballot a
2016,262,never married,0,20,high school,male,pretty happy,moderately satisfied,NA,ballot c
2016,263,never married,2,42,high school,male,very happy,very satisfied,8775,ballot b
2016,264,never married,1,30,high school,female,very happy,moderately satisfied,1638,ballot a
2016,265,separated,1,26,associate/junior college,female,pretty happy,very satisfied,6435,ballot b
2016,266,divorced,2,58,associate/junior college,female,not too happy,very satisfied,17550,ballot b
2016,267,never married,1,47,high school,female,pretty happy,very satisfied,NA,ballot a
2016,268,divorced,2,61,high school,female,very happy,NA,NA,ballot b
2016,269,married,2,44,less than high school,male,pretty happy,very satisfied,31590,ballot c
2016,270,married,0,75,graduate,female,very happy,NA,NA,ballot b
2016,271,married,3,44,graduate,female,very happy,very dissatisfied,NA,ballot c
2016,272,married,0,36,bachelor's,female,very happy,moderately satisfied,11115,ballot b
2016,273,divorced,2,62,bachelor's,female,pretty happy,NA,25740,ballot a
2016,274,married,2,37,bachelor's,male,very happy,very satisfied,NA,ballot b
2016,275,widowed,2,69,high school,female,very happy,NA,NA,ballot a
2016,276,divorced,2,48,high school,male,pretty happy,very satisfied,NA,ballot c
2016,277,married,3,44,graduate,female,pretty happy,very satisfied,31590,ballot b
2016,278,married,0,59,bachelor's,male,very happy,very dissatisfied,17550,ballot c
2016,279,married,2,61,associate/junior college,female,pretty happy,very satisfied,17550,ballot b
2016,280,married,2,31,less than high school,male,very happy,moderately satisfied,25740,ballot b
2016,281,married,3,54,less than high school,female,very happy,NA,NA,ballot a
2016,282,divorced,2,49,high school,female,pretty happy,moderately satisfied,6435,ballot a
2016,283,married,4,47,high school,female,pretty happy,very satisfied,NA,ballot c
2016,284,married,1,NA,high school,female,very happy,NA,38610,ballot a
